"Hours since thread went live","Kimetsu no Yaiba: Katanakaji no Sato-hen • Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc - Episode 11 discussion"
37,2056
37.083333333333336,2057
37.166666666666664,2056
37.25,2058
37.333333333333336,2065
37.416666666666664,2056
37.5,2060
37.583333333333336,2067
37.666666666666664,2065
37.75,2065
37.833333333333336,2068
37.916666666666664,2065
38,2064
38.083333333333336,2067
38.166666666666664,2068
38.25,2073
38.333333333333336,2069
38.416666666666664,2075
38.5,2076
38.583333333333336,2076
38.666666666666664,2076
38.75,2078
38.833333333333336,2074
38.916666666666664,2075
39,2079
39.083333333333336,2086
39.166666666666664,2084
39.25,2081
39.333333333333336,2084
39.416666666666664,2086
39.5,2089
39.583333333333336,2088
39.666666666666664,2085
39.75,2096
39.833333333333336,2099
39.916666666666664,2091
40,2099
40.083333333333336,2095
40.166666666666664,2102
40.25,2104
40.333333333333336,2104
40.416666666666664,2106
40.5,2109
40.583333333333336,2109
40.666666666666664,2107
40.75,2111
40.833333333333336,2113
40.916666666666664,2112
41,2109
41.083333333333336,2120
41.166666666666664,2113
41.25,2118
41.333333333333336,2122
41.416666666666664,2114
41.5,2120
41.583333333333336,2119
41.666666666666664,2118
41.75,2118
41.833333333333336,2122
41.916666666666664,2118
42,2119
42.083333333333336,2124
42.166666666666664,2125
42.25,2129
42.333333333333336,2129
42.416666666666664,2131
42.5,2132
42.583333333333336,2134
42.666666666666664,2133
42.75,2134
42.833333333333336,2131
42.916666666666664,2132
43,2135
43.083333333333336,2134
43.166666666666664,2134
43.25,2136
43.333333333333336,2138
43.416666666666664,2136
43.5,2137
43.583333333333336,2140
43.666666666666664,2133
43.75,2144
43.833333333333336,2138
43.916666666666664,2140
44,2148
44.083333333333336,2148
44.166666666666664,2143
44.25,2149
44.333333333333336,2148
44.416666666666664,2147
44.5,2156
44.583333333333336,2156
44.666666666666664,2163
44.75,2160
44.833333333333336,2161
44.916666666666664,2160
45,2163
45.083333333333336,2168
45.166666666666664,2163
45.25,2173
45.333333333333336,2169
45.416666666666664,2174
45.5,2167
45.583333333333336,2172
45.666666666666664,2169
45.75,2167
45.833333333333336,2176
45.916666666666664,2166
46,2168
46.083333333333336,2173
46.166666666666664,2173
46.25,2176
46.333333333333336,2180
46.416666666666664,2179
46.5,2184
46.583333333333336,2183
46.666666666666664,2185
46.75,2179
46.833333333333336,2180
46.916666666666664,2186
47,2181
47.083333333333336,2184
47.166666666666664,2182
47.25,2184
47.333333333333336,2187
47.416666666666664,2187
47.5,2192
47.583333333333336,2185
47.666666666666664,2187
47.75,2186
47.833333333333336,2186
47.916666666666664,2188
