"Hours since thread went live","Nanatsu no Taizai: Mokushiroku no Yonkishi • The Seven Deadly Sins: Four Knights of the Apocalypse - Episode 23 discussion"
38.75,4
38.833333333333336,6
38.916666666666664,5
39,5
39.083333333333336,8
39.166666666666664,5
39.25,5
39.333333333333336,7
39.416666666666664,4
39.5,6
39.583333333333336,4
39.666666666666664,6
39.75,6
39.833333333333336,6
39.916666666666664,7
40,4
40.083333333333336,8
40.166666666666664,5
40.25,5
40.333333333333336,4
40.416666666666664,6
40.5,5
40.583333333333336,7
40.666666666666664,8
40.75,7
40.833333333333336,6
40.916666666666664,8
41,7
41.083333333333336,4
41.166666666666664,6
41.25,6
41.333333333333336,7
41.416666666666664,7
41.5,6
41.583333333333336,6
41.666666666666664,5
41.75,5
41.833333333333336,8
41.916666666666664,8
42,5
42.083333333333336,7
42.166666666666664,6
42.25,6
42.333333333333336,6
42.416666666666664,6
42.5,6
42.583333333333336,5
42.666666666666664,7
42.75,6
42.833333333333336,7
42.916666666666664,8
43,5
43.083333333333336,5
43.166666666666664,4
43.25,8
43.333333333333336,4
43.416666666666664,6
43.5,5
43.583333333333336,5
43.666666666666664,5
43.75,4
43.833333333333336,6
43.916666666666664,4
44,5
44.083333333333336,6
44.166666666666664,7
44.25,5
44.333333333333336,7
44.416666666666664,4
44.5,7
44.583333333333336,4
44.666666666666664,7
44.75,7
44.833333333333336,8
44.916666666666664,6
45,8
45.083333333333336,4
45.166666666666664,5
45.25,5
45.333333333333336,4
45.416666666666664,7
45.5,7
45.583333333333336,6
45.666666666666664,5
45.75,4
45.833333333333336,4
45.916666666666664,6
46,8
46.083333333333336,7
46.166666666666664,6
46.25,6
46.333333333333336,5
46.416666666666664,8
46.5,4
46.583333333333336,7
46.666666666666664,7
46.75,7
46.833333333333336,7
46.916666666666664,6
47,6
47.083333333333336,7
47.166666666666664,6
47.25,7
47.333333333333336,5
47.416666666666664,6
47.5,7
47.583333333333336,8
47.666666666666664,8
47.75,6
47.833333333333336,6
47.916666666666664,7
